Player,Team,Pos,season,target,UMAP_1,UMAP_2,UMAP_3,UMAP_4,UMAP_5,UMAP_6,UMAP_7,UMAP_8,UMAP_9,UMAP_10,UMAP_11,UMAP_12,UMAP_13,UMAP_14,UMAP_15,UMAP_16,UMAP_17,UMAP_18,UMAP_19,UMAP_20,UMAP_21,UMAP_22,UMAP_23,UMAP_24,UMAP_25
Caron Butler,2TM,SG,2010,0,9.98015,5.5654955,6.2110615,9.878463,2.2122822,10.128672,3.2133734,2.645254,3.8450787,4.4567127,3.5072126,5.807783,5.7162614,6.7701964,5.973411,4.3467298,9.331888,5.1157722,6.660707,2.5447457,5.710652,5.935802,4.691667,5.557834,4.0566044
Cartier Martin,2TM,SF,2010,0,10.10707,5.844587,8.566797,9.730839,2.1625338,10.194076,3.4567316,3.3234036,3.725632,4.2338586,3.1759923,5.5734076,5.654623,6.5946984,5.9526463,4.1561556,9.339878,5.194275,6.6980906,2.5391371,5.718544,5.962896,4.68039,5.5471725,4.0492954
Cedric Jackson,3TM,PG,2010,0,10.049795,5.8724513,9.930718,9.613476,2.1291533,10.971671,4.0802608,3.585527,2.94832,4.349691,2.7071054,5.4148107,5.495478,6.359001,5.9790573,4.060344,9.337031,5.17561,6.6116595,2.596849,5.6993966,5.931296,4.6608343,5.522849,4.0595164
Channing Frye,PHO,C,2010,0,9.9377985,5.5608287,6.816183,9.859468,2.2248933,10.534551,2.944733,2.9237401,2.750059,4.802868,3.2491758,5.6838584,5.668927,6.6106534,5.85627,4.3566623,9.281738,5.131491,6.565689,2.4921436,5.7193856,5.9756346,4.599814,5.55615,4.06365
Charlie Bell,MIL,SG,2010,0,10.044242,5.7667756,8.247288,9.791394,2.1934896,10.651304,3.0118577,3.309015,2.9300783,4.609987,3.080982,5.550597,5.6828117,6.5396085,5.8486023,4.2468944,9.289235,5.2297134,6.629339,2.4681666,5.715737,6.0009117,4.5665135,5.5411587,4.052008
Charlie Villanueva,DET,PF,2010,0,10.049703,5.76984,7.94103,9.792635,2.2024975,10.344325,2.9470103,3.2427871,3.8392127,4.3245215,3.1725128,5.5937724,5.691191,6.5943594,5.9674687,4.197761,9.352336,5.178092,6.68661,2.534132,5.72897,5.9468894,4.6781507,5.5373697,4.0398607
Chase Budinger,HOU,SF,2010,0,9.956697,5.7228894,8.692004,9.701431,2.176025,10.991464,3.6136203,3.3112676,3.3174434,4.4017053,2.8118112,5.5147963,5.5310974,6.4216657,6.0348954,4.133069,9.3655815,5.109137,6.5995007,2.6205583,5.709957,5.8926644,4.711832,5.52171,4.0520606
Chauncey Billups,DEN,PG,2010,0,9.933406,5.4886065,5.402099,9.983161,2.2574155,10.594234,2.5642138,2.4800286,3.757895,4.690753,3.5110762,5.8400416,5.807769,6.7890706,5.9363847,4.4477477,9.313424,5.1658206,6.6498194,2.4863715,5.7066736,5.948137,4.598893,5.538581,4.0461197
Chris Andersen,DEN,PF,2010,0,10.0664215,5.6641455,7.962482,9.621008,2.064062,9.507305,5.5234303,2.7435105,3.0336535,4.239014,3.4995327,5.793935,5.44764,6.738037,5.969258,4.2138767,9.294963,5.0228467,6.602262,2.6516104,5.673449,5.9413443,4.7950253,5.6114287,4.1122227
Chris Bosh,TOR,C,2010,0,9.986307,5.498697,5.7879276,9.813855,2.1648602,9.314358,4.2152705,2.3748763,4.080682,4.2310095,3.7837732,5.944087,5.6199493,6.8933287,6.041095,4.332574,9.345811,4.994344,6.660004,2.6369355,5.703463,5.902325,4.8317075,5.5963035,4.0821576
Chris Douglas-Roberts,NJN,SF,2010,0,10.105581,5.8372517,8.20071,9.768289,2.1734748,10.302731,3.3351743,3.1788764,4.3486953,4.106887,3.225754,5.617404,5.7033043,6.647267,6.0255814,4.160859,9.373013,5.2081804,6.746912,2.5579102,5.712067,5.9339623,4.7014585,5.5316806,4.0369096
Chris Duhon,NYK,PG,2010,0,10.06031,5.776607,7.865729,9.862999,2.2051485,11.054695,2.7788644,3.1113098,3.4762495,4.5714407,3.122843,5.5968394,5.7853084,6.608198,5.884274,4.2922935,9.299873,5.314671,6.6911845,2.4402454,5.693406,5.9971113,4.508364,5.5146294,4.0364575
Chris Hunter,GSW,C,2010,0,10.118762,5.825326,8.885297,9.614409,2.0883608,9.79194,4.833195,3.1478515,3.6225727,4.053483,3.2643726,5.6430273,5.5076942,6.6339936,6.0157065,4.106403,9.343053,5.1006513,6.6740866,2.6379418,5.693739,5.930509,4.784766,5.575235,4.079476
Chris Kaman,LAC,C,2010,0,10.049309,5.6249857,6.852006,9.739553,2.1278346,9.376434,4.582135,2.5902708,4.1603985,4.076913,3.6626687,5.864129,5.587154,6.840758,6.053707,4.24559,9.353325,5.033385,6.6889963,2.6476793,5.6951423,5.9085355,4.835994,5.59208,4.081194
Chris Paul,NOH,PG,2010,0,9.965519,5.583679,6.066774,9.953015,2.2568312,10.597782,2.3938124,2.7214081,4.087327,4.527277,3.40035,5.7596717,5.814355,6.7365656,5.970582,4.366908,9.343417,5.190852,6.6910896,2.4956598,5.716802,5.9407263,4.622646,5.526969,4.0326595
Chris Quinn,NJN,PG,2010,0,10.172701,5.957462,9.175289,9.706082,2.1425982,10.35758,3.5869405,3.4069037,4.1850524,4.0408254,3.1193233,5.534003,5.682171,6.592809,5.9987698,4.097832,9.36157,5.259168,6.762742,2.5439117,5.7059937,5.9564085,4.671721,5.5285783,4.038229
Chris Richard,CHI,PF,2010,0,10.143732,5.8597407,9.249304,9.586672,2.075491,9.729096,4.943451,3.266378,3.190576,4.135494,3.2409322,5.603555,5.489595,6.6030827,5.950096,4.1013165,9.312814,5.1191764,6.652471,2.6097505,5.6948357,5.962234,4.7467766,5.584403,4.0873046
Chris Wilcox,DET,PF,2010,0,10.144883,5.865063,9.130187,9.604383,2.0855215,9.730061,4.781062,3.2477558,3.5172799,4.0614767,3.254556,5.612594,5.5151253,6.6201735,5.9848833,4.0946336,9.332914,5.1222906,6.678401,2.617754,5.697807,5.9484735,4.7646365,5.5771585,4.0791116
